month,source,count
Jan,Nome Nugget,39
Feb,Nome Nugget,21
Mar,Nome Nugget,20
Apr,Nome Nugget,15
May,Nome Nugget,23
Jun,Nome Nugget,13
Jul,Nome Nugget,5
Aug,Nome Nugget,36
Sep,Nome Nugget,17
Oct,Nome Nugget,26
Nov,Nome Nugget,32
Dec,Nome Nugget,27
Other,Nome Nugget,48
Jan,Storm Data,3
Feb,Storm Data,0
Mar,Storm Data,2
Apr,Storm Data,4
May,Storm Data,2
Jun,Storm Data,0
Jul,Storm Data,1
Aug,Storm Data,3
Sep,Storm Data,8
Oct,Storm Data,13
Nov,Storm Data,9
Dec,Storm Data,1
Other,Storm Data,0
