year,source,count
1990,Nome Nugget,11
1991,Nome Nugget,3
1992,Nome Nugget,25
1993,Nome Nugget,19
1994,Nome Nugget,11
1995,Nome Nugget,3
1996,Nome Nugget,6
1997,Nome Nugget,1
1998,Nome Nugget,7
1999,Nome Nugget,4
2000,Nome Nugget,7
2001,Nome Nugget,1
2002,Nome Nugget,5
2003,Nome Nugget,2
2004,Nome Nugget,26
2005,Nome Nugget,20
2006,Nome Nugget,5
2007,Nome Nugget,12
2008,Nome Nugget,15
2009,Nome Nugget,12
2010,Nome Nugget,3
2011,Nome Nugget,27
2012,Nome Nugget,21
2013,Nome Nugget,16
2014,Nome Nugget,21
2015,Nome Nugget,14
2016,Nome Nugget,6
2017,Nome Nugget,10
2018,Nome Nugget,11
1990,Storm Data,0
1991,Storm Data,0
1992,Storm Data,0
1993,Storm Data,1
1994,Storm Data,1
1995,Storm Data,1
1996,Storm Data,0
1997,Storm Data,0
1998,Storm Data,2
1999,Storm Data,0
2000,Storm Data,0
2001,Storm Data,0
2002,Storm Data,0
2003,Storm Data,0
2004,Storm Data,9
2005,Storm Data,8
2006,Storm Data,0
2007,Storm Data,1
2008,Storm Data,4
2009,Storm Data,4
2010,Storm Data,0
2011,Storm Data,7
2012,Storm Data,1
2013,Storm Data,3
2014,Storm Data,0
2015,Storm Data,0
2016,Storm Data,2
2017,Storm Data,2
2018,Storm Data,0
